"","State","Employer.Only","Medicaid.Only","Uninsured","HCE","Household_Income","IMR","ObesityRate","White","Black","Hispanic","Asian","Two.Or.More.Races","SmokingRate","emi_pc","pi_pc","Year","ID","dixieSouth","southeast"
"82","Connecticut",0.55,0.13,0.09,"$9,517 ","73,184",4.79,25,0.7,"0.1",0.15,"0.04","0.02",15.5,9.7,63554,"2013",7,0,0
"92","Delaware",0.51,0.15,0.1,"$9,766 ","56,381",6.37,31.1,0.64,"0.21",0.09,"0.04","0.02",19.6,14.2,44335,"2013",8,0,0
"102","District of Columbia",0.52,0.2,0.06,"$11,466 ","65,511",6.68,22.9,0.35,"0.49",0.1,"0.03","0.03",18.8,4.3,67939,"2013",9,0,0
"112","Florida",0.38,0.12,0.2,"$7,688 ","51,703",6.14,26.4,0.56,"0.15",0.24,"0.03","0.02",16.8,11.3,40659,"2013",10,1,1
"122","Georgia",0.46,0.13,0.19,"$6,249 ","51,220",6.98,30.3,0.55,"0.3",0.09,"0.04","0.02",18.8,13.5,37549,"2013",11,1,1
"132","Hawaii",0.53,0.12,0.07,"$6,955 ","66,303",6.37,21.8,0.22,"0.02",0.1,"0.38","0.2",13.3,13.1,44955,"2013",12,0,0
"142","Idaho",0.46,0.11,0.16,"$6,593 ","55,893",5.63,29.6,0.83,"<.01",0.12,"0.02","0.02",17.2,10.7,36200,"2013",13,0,0
"152","Illinois",0.52,0.14,0.13,"$7,911 ","61,755",5.97,29.4,0.63,"0.14",0.17,"0.05","0.02",18,17.8,47113,"2013",14,0,0
"162","Indiana",0.52,0.12,0.14,"$7,923 ","54,582",7.24,31.8,0.81,"0.09",0.06,"0.02","0.02",21.9,30.4,39648,"2013",15,0,0
"172","Iowa",0.54,0.11,0.09,"$7,806 ","59,227",4.25,31.3,0.88,"0.03",0.05,"0.02","0.02",19.5,26.2,43472,"2013",16,0,0
"182","Kansas",0.52,0.09,0.12,"$7,429 ","55,589",6.49,30,0.77,"0.06",0.11,"0.02","0.03",20,24,45958,"2013",17,0,0
"192","Kentucky",0.48,0.13,0.14,"$7,543 ","45,518",6.39,33.2,0.86,"0.08",0.03,"0.01","0.02",26.5,31,35919,"2013",18,1,1
"202","Louisiana",0.44,0.16,0.17,"$7,487 ","42,780",8.69,33.1,0.6,"0.32",0.05,"0.02","0.01",23.5,44,40911,"2013",19,1,1
"213","Maine",0.45,0.15,0.11,"$9,133 ","54,116",7.12,28.9,0.94,"0.01",0.01,"0.01","0.02",20.2,12.5,40165,"2013",20,0,0
"222","Maryland",0.56,0.11,0.1,"$8,250 ","70,464",6.63,28.3,0.53,"0.29",0.09,"0.06","0.03",16.4,10,53052,"2013",21,0,0
"232","Massachusetts",0.58,0.15,0.04,"$10,273 ","67,982",4.18,23.6,0.75,"0.06",0.11,"0.06","0.03",16.6,9.8,57372,"2013",22,0,0
"242","Michigan",0.5,0.14,0.11,"$7,745 ","52,691",7.05,31.5,0.76,"0.14",0.05,"0.03","0.02",21.4,16.3,39361,"2013",23,0,0
"252","Minnesota",0.57,0.11,0.08,"$8,465 ","65,762",5.09,25.5,0.82,"0.05",0.05,"0.04","0.02",18,16.5,47941,"2013",24,0,0
"262","Mississippi",0.4,0.17,0.17,"$7,362 ","44,106",9.6,35.1,0.58,"0.38",0.03,"0.01","0.01",24.8,20.3,33852,"2013",25,1,1
"272","Missouri",0.5,0.11,0.13,"$7,860 ","54,321",6.52,30.4,0.81,"0.11",0.04,"0.02","0.02",22.1,21.9,40324,"2013",26,1,0
"282","Montana",0.44,0.11,0.17,"$7,994 ","47,650",5.57,24.6,0.87,"N/A",0.03,"0.01","0.02",19,31.1,40176,"2013",27,0,0
"292","Nebraska",0.54,0.09,0.11,"$8,133 ","58,060",5.21,29.6,0.81,"0.05",0.1,"0.02","0.02",18.5,28.6,46592,"2013",28,0,0
"302","Nevada",0.49,0.09,0.21,"$6,275 ","48,985",5.31,26.2,0.52,"0.08",0.28,"0.08","0.03",19.4,13.1,39271,"2013",29,0,0
"313","New Hampshire",0.58,0.08,0.11,"$9,369 ","77,007",5.57,26.7,0.92,"0.01",0.03,"0.02","0.02",16.2,10.8,50754,"2013",30,0,0
"322","New Jersey",0.56,0.1,0.13,"$8,444 ","66,707",4.5,26.3,0.57,"0.12",0.19,"0.09","0.02",15.7,12,56045,"2013",31,0,0
"332","New Mexico",0.36,0.19,0.19,"$6,860 ","45,485",5.27,26.4,0.39,"0.02",0.47,"0.01","0.02",19.1,25.4,35079,"2013",32,0,0
"342","New York",0.5,0.17,0.11,"$9,351 ","58,135",4.93,25.4,0.57,"0.14",0.18,"0.08","0.02",16.6,8.2,54491,"2013",33,0,0
"352","North Carolina",0.44,0.14,0.16,"$7,027 ","44,493",6.99,29.4,0.64,"0.21",0.09,"0.02","0.02",20.3,12.7,38200,"2013",34,1,1
"362","North Dakota",0.56,0.06,0.1,"$9,385 ","57,104",6.04,31,0.87,"0.02",0.02,"0.01","0.02",21.2,78.3,53824,"2013",35,0,0
"372","Ohio",0.53,0.13,0.11,"$8,286 ","50,096",7.33,30.4,0.81,"0.12",0.03,"0.02","0.02",23.4,19.8,41098,"2013",36,0,0
"382","Oklahoma",0.45,0.13,0.18,"$7,293 ","47,266",6.73,32.5,0.68,"0.07",0.1,"0.02","0.06",23.7,26.8,43097,"2013",37,1,0
"392","Oregon",0.47,0.12,0.15,"$7,467 ","60,795",4.94,26.5,0.78,"0.02",0.12,"0.04","0.03",17.3,10,40015,"2013",38,0,0
"402","Pennsylvania",0.53,0.11,0.1,"$8,877 ","58,252",6.65,30,0.79,"0.1",0.06,"0.03","0.02",21,19.3,46411,"2013",39,0,0
"413","Rhode Island",0.52,0.11,0.12,"$9,160 ","62,420",6.48,27.3,0.75,"0.05",0.14,"0.03","0.03",17.4,9.6,46225,"2013",40,0,0
"422","South Carolina",0.45,0.14,0.16,"$7,020 ","47,236",6.87,31.7,0.64,"0.27",0.05,"0.01","0.02",22,14.7,35731,"2013",41,1,1
"432","South Dakota",0.48,0.1,0.12,"$8,547 ","58,793",6.45,29.9,0.84,"0.02",0.03,"0.01","0.02",19.6,18.3,45245,"2013",42,0,0
"442","Tennessee",0.46,0.14,0.14,"$7,106 ","45,887",6.8,33.7,0.75,"0.17",0.05,"0.01","0.02",24.3,15.1,39427,"2013",43,0,0
"452","Texas",0.45,0.13,0.22,"$6,661 ","57,254",5.82,30.9,0.44,"0.11",0.39,"0.04","0.02",15.9,23.4,43781,"2013",44,1,0
"462","Utah",0.58,0.08,0.13,"$5,658 ","67,986",5.18,24.1,0.8,"0.01",0.13,"0.02","0.02",10.3,23,36725,"2013",45,0,0
"472","Vermont",0.48,0.19,0.07,"$9,919 ","59,213",4.35,24.7,0.94,"0.01",0.01,"0.01","0.02",16.6,9.2,45941,"2013",46,0,0
"482","Virginia",0.54,0.08,0.12,"$7,306 ","73,010",6.18,27.2,0.64,"0.19",0.09,"0.06","0.03",19,12.7,48855,"2013",47,1,1
"492","Washington",0.5,0.11,0.14,"$7,609 ","64,897",4.53,27.2,0.71,"0.03",0.12,"0.08","0.04",16.1,10.5,48304,"2013",48,0,0
"502","West Virginia",0.46,0.14,0.14,"$8,969 ","43,449",7.64,35.1,0.93,"0.03",0.01,"0.01","0.02",27.3,50.9,34946,"2013",49,1,1
"512","Wisconsin",0.55,0.12,0.09,"$8,189 ","59,663",6.26,29.8,0.83,"0.06",0.06,"0.02","0.02",18.7,17.6,43184,"2013",50,0,0
"522","Wyoming",0.56,0.08,0.13,"$7,961 ","60,140",4.84,27.8,0.85,"0.01",0.09,"0.01","0.02",20.6,117.2,52892,"2013",51,0,0
"214","Alabama",0.46,0.14,0.12,"$7,281 ","44,888",8.67,33.5,0.66,"0.26",0.04,"0.01","0.02",21.1,25.4,37266,"2014",1,1,1
"314","Alaska",0.48,0.12,0.18,"$11,064 ","71,804",6.67,29.7,0.62,"0.03",0.07,"0.06","0.07",19.9,48,55833,"2014",2,0,0
"414","Arizona",0.43,0.16,0.14,"$6,452 ","52,294",6.1,28.9,0.56,"0.04",0.3,"0.03","0.02",16.5,13.9,38226,"2014",3,0,0
"55","Arkansas",0.42,0.18,0.12,"$7,408 ","47,695",7.48,35.9,0.74,"0.15",0.07,"0.01","0.02",24.7,23.3,38260,"2014",4,1,1
"63","California",0.46,0.18,0.12,"$7,549 ","64,221",4.32,24.7,0.38,"0.05",0.39,"0.14","0.03",12.9,9.1,52324,"2014",5,0,0
"73","Colorado",0.5,0.13,0.11,"$6,804 ","64,702",4.79,21.3,0.69,"0.04",0.21,"0.03","0.03",15.7,17.2,50700,"2014",6,0,0
"83","Connecticut",0.54,0.15,0.07,"$9,859 ","74,492",4.82,26.3,0.69,"0.1",0.15,"0.04","0.02",15.4,9.8,66485,"2014",7,0,0
"93","Delaware",0.53,0.14,0.07,"$10,254 ","61,073",6.74,30.7,0.64,"0.21",0.09,"0.04","0.02",19.9,13.6,45988,"2014",8,0,0
"103","District of Columbia",0.51,0.22,0.06,"$11,944 ","72,492",7.47,21.7,0.35,"0.48",0.11,"0.04","0.02",16.4,4.6,71334,"2014",9,0,0
"113","Florida",0.38,0.13,0.17,"$8,076 ","48,988",6.11,26.2,0.56,"0.15",0.24,"0.03","0.02",17.7,11.4,43109,"2014",10,1,1
